class_id,course_code,professor,day,time
40002,ACC 201,Maria Domingo,Tues Fri,08:00
40016,ACC 201,Wynette Rene,Mon Wed ,17:30
40009,ACC 201,Terrence Bennett,Mon Thurs ,08:00
40018,ACC 201,Sunita Ahlawat,Mon Thurs ,09:30
40227,ACC 201,Marc Padre,Mon Thurs ,14:00
40003,ACC 201,Maria Domingo,Tues Fri,14:00
40011,ACC 202,Marjorie Yuschak,Tues Fri,12:30
40012,ACC 202,Marjorie Yuschak,Tues Fri,09:30
40014,ACC 202,Christina Ryan,Tues Fri,08:00
40023,ACC 202,Sunita Ahlawat,Mon Thurs ,14:00
40024,ACC 202,Christina Ryan,Tues Fri,11:00
40229,ACC 202,Sunita Ahlawat,Mon Thurs ,08:00
40004,ACC 211,Gerald Miller,Mon Thurs ,09:30
40005,ACC 211,Gerald Miller,Mon Thurs ,11:00
40021,ACC 271,Sean Raquet,Tues ,17:30
42423,ACC 302,Abdus Shahid,Mon Thurs ,11:00
40205,ACC 302,Abdus Shahid,Mon Thurs ,12:30
40206,ACC 302,Abdus Shahid,Thurs ,15:30
40019,ACC 311,Bih-Horng Chiang,Thurs ,09:30
40207,ACC 311,Bih-Horng Chiang,Mon Thurs ,14:00
40020,ACC 321,Ting Sun,Mon Thurs ,09:30
40010,ACC 321,Ting Sun,Mon Thurs ,12:30
40015,ACC 321,Ting Sun,Mon Thurs ,15:30
40006,ACC 498,Hossein Nouri,Tues ,17:30
40007,ACC 498,Gerald Miller,Mon Thurs ,14:00
41703,BIO 104,Matthew Wund,Tues Fri,09:30
41704,BIO 104,Matthew Wund,Tues ,14:00
41705,BIO 104,Matthew Wund,Fri,14:00
41668,BIO 142,Anthony Uzwiak,Mon Thurs ,14:00
41669,BIO 142,Anthony Uzwiak,Tues ,14:00
41670,BIO 142,Anthony Uzwiak,Tues ,17:30
42250,BIO 142,Anthony Uzwiak,Mon Thurs ,15:30
42251,BIO 142,Joseph Pepe,Wed ,14:00
42252,BIO 142,Joseph Pepe,Wed ,17:30
41671,BIO 144,Rita King,Mon Wed ,17:30
41672,BIO 144,Rita King,Mon ,19:00
41712,BIO 144,Rita King,Wed ,19:00
41706,BIO 144,Sharron Crane,Tues Thurs ,17:30
41707,BIO 144,Sharron Crane,Tues ,19:00
41751,BIO 144,Sharron Crane,Thurs ,19:00
41686,BIO 171,James Crowder,Mon Wed ,17:30
41687,BIO 171,James Crowder,Mon ,18:30
41690,BIO 171,James Crowder,Wed ,18:30
41688,BIO 171,Darl Swartz,Mon Thurs ,12:30
41689,BIO 171,Darl Swartz,Mon ,13:30
41691,BIO 171,Darl Swartz,Thurs ,13:30
41673,BIO 201,Donald Lovett,Tues Fri,09:30
41674,BIO 201,Donald Lovett,Tues ,14:00
42253,BIO 201,Donald Lovett,Thurs ,14:00
42254,BIO 201,Philip Felton,Tues Fri,08:00
42255,BIO 201,Philip Felton,Tues ,09:30
42256,BIO 201,Philip Felton,Fri,09:30
42257,BIO 201,Emily Herstoff,Mon Thurs ,14:00
42258,BIO 201,Emily Herstoff,Mon ,09:30
42259,BIO 201,Emily Herstoff,Thurs ,09:30
42260,BIO 201,Agnesa Redere,Mon Wed ,17:30
42261,BIO 201,Agnesa Redere,Mon ,19:00
42262,BIO 201,Agnesa Redere,Wed ,19:00
41675,BIO 211,Tracy Kress,Mon Thurs ,09:30
41713,BIO 211,Tracy Kress,Mon ,14:00
41676,BIO 211,Marcia O'Connell,Tues Fri,11:00
41677,BIO 211,Marcia O'Connell,Thurs ,11:00
41692,BIO 211,Amanda Norvell,Mon Thurs ,11:00
41693,BIO 211,Amanda Norvell,Mon ,08:00
41695,BIO 211,Amanda Norvell,Thurs ,08:00
42263,BIO 211,Brian O'Neill,Tues Fri,09:30
42264,BIO 211,Brian O'Neill,Tues ,14:00
42265,BIO 211,Brian O'Neill,Wed ,09:00
42266,BIO 211,Brian O'Neill,Thurs ,14:00
42267,BIO 211,Wenting Zhu,Tues Fri,08:00
